# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size200_cover10.faa.out.hmmsearch.tab
# list_file=oxli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in oxli.txt = 53

	PF00067	PF00115	PF00116	PF00117	PF00120	PF00142	PF00148	PF00173	PF00174	PF00175	PF00194	PF00208	PF00310	PF00384	PF00441	PF00484	PF00696	PF00795	PF00970	PF00988	PF01077	PF01493	PF01568	PF01645	PF02142	PF02239	PF02335	PF02461	PF02560	PF02665	PF02771	PF02786	PF02787	PF02812	PF03060	PF03063	PF03069	PF03139	PF03404	PF03460	PF03951	PF04324	PF04879	PF04898	PF05088	PF07732	PF07992	PF11844	PF13247	PF13442	PF13447	PF13806	PF14691	PF14710	PF14711
Streptococcus agalactiae 2603V/R	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pyrococcus furiosus DSM 3638	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Methanosarcina acetivorans C2A	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0
Buchnera aphidicola str. Sg (Schizaphis graminum)	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Xanthomonas oryzae pv. oryzae KACC 10331	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	0	0
Streptococcus mutans UA159	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Tropheryma whipplei str. Twist	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0
Bifidobacterium longum NCC2705	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Pseudomonas putida KT2440	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Porphyromonas gingivalis W83	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Chlamydophila caviae GPIC	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Clostridium tetani E88	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Staphylococcus epidermidis ATCC 12228	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1
Leifsonia xyli subsp. xyli str. CTCB07	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0
Chromobacterium violaceum ATCC 12472	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1
Buchnera aphidicola str. Bp (Baizongia pistaciae)	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Mannheimia succiniciproducens MBEL55E	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0
Coxiella burnetii RSA 493	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Enterococcus faecalis V583	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
[Pseudomonas syringae] pv. tomato str. DC3000	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Bacillus cereus ATCC 14579	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1
Bacillus anthracis str. Ames	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1
Mycobacterium avium subsp. paratuberculosis K-10	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Helicobacter hepaticus ATCC 51449	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0
Prochlorococcus marinus subsp. marinus str. CCMP1375	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
Haemophilus ducreyi 35000HP	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0
Geobacter sulfurreducens PCA	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Bacillus cereus ATCC 10987	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0
Wolbachia endosymbiont of Drosophila melanogaster	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Rickettsia typhi str. Wilmington	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Lactobacillus johnsonii NCC 533	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Thermus thermophilus HB27	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0
Treponema denticola ATCC 35405	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Mycoplasma hyopneumoniae J	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Mycoplasma synoviae 53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Picrophilus torridus DSM 9790	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0
Listeria monocytogenes serotype 4b str. F2365	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0
Mesoplasma florum L1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Methylococcus capsulatus str. Bath	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0
Propionibacterium acnes KPA171202	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Mycoplasma mobile 163K	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Wolbachia endosymbiont strain TRS of Brugia malayi	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Bacillus licheniformis DSM 13 = ATCC 14580	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1
Idiomarina loihiensis L2TR	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0
Helicobacter pylori 26695	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Thermotoga maritima MSB8	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Deinococcus radiodurans R1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0
Mycobacterium tuberculosis CDC1551	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1
Treponema pallidum subsp. pallidum str. Nichols	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Aquifex aeolicus VF5	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	0
Methanothermobacter thermautotrophicus str. Delta H	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Archaeoglobus fulgidus DSM 4304	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0
Borrelia burgdorferi B31	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Chlamydia trachomatis D/UW-3/CX	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Clostridium acetobutylicum ATCC 824	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0
Helicobacter pylori J99	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Neisseria meningitidis MC58	0	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lactobacillus salivarius UCC118	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Francisella tularensis subsp. tularensis SCHU S4	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Staphylococcus aureus RF122	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1
Dehalococcoides mccartyi CBDB1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0
Bacillus subtilis subsp. subtilis str. 168	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0
Ralstonia solanacearum GMI1000	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Nitrosomonas europaea ATCC 19718	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0
Xanthomonas campestris pv. vesicatoria str. 85-10	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Haloquadratum walsbyi DSM 16790	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
Clostridioides difficile 630	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0
