	sulfur	carbon	oxygen	iron	nitrogen
GCF_000092305.1	0.51	0.88	0.47	0.07	0.36
GCF_000025605.1	0.5	0.09	0.68	0.46	0.66
GCF_000007305.1	0.5	0.12	0.12	0.03	0.33
GCF_000018405.1	0.5	0.15	0.1	0.68	0.41
GCF_000012965.1	0.5	0.07	0.33	0.68	0.58
GCF_000739065.1	0.5	0.9	0.47	0.03	0.37
GCF_001006045.1	0.5	0.38	0.2	0.49	0.44
GCF_000021545.1	0.49	0.08	0.23	0.75	0.5
GCF_001412615.1	0.49	0.07	0.06	0.33	0.36
GCF_000185805.1	0.49	0.11	0.2	0.45	0.45
GCF_000517445.1	0.49	0.11	0	0.06	0.3
GCF_000012485.1	0.48	0.11	0.48	0.68	0.54
GCF_000151105.2	0.48	0.08	0	0.05	0.28
GCF_000020825.1	0.48	0.09	0.6	0.47	0.71
GCF_000147355.1	0.48	0.07	0.32	0.66	0.56
GCF_000063445.1	0.48	0.88	0.4	0.12	0.51
GCF_000008625.1	0.48	0.07	0.44	0.67	0.58
GCF_000263735.1	0.48	0.09	0.13	0.01	0.33
GCF_000190315.1	0.47	0.05	0.06	0.09	0.44
GCF_000211475.1	0.47	0.09	0.02	0.01	0.29
GCF_000010345.1	0.46	0.08	0.32	0.78	0.64
GCF_000214095.2	0.46	0.09	0.61	0.48	0.69
GCF_000186245.1	0.46	0.06	0.32	0.68	0.59
GCF_000025545.1	0.46	0.06	0.38	0.41	0.68
GCF_000251105.1	0.46	0.79	0.32	0.08	0.39
GCF_000024885.1	0.45	0.08	0.16	0.7	0.51
GCF_000993805.1	0.45	0.09	0.03	0.07	0.28
GCF_000025525.1	0.44	0.9	0.48	0.03	0.36
GCF_000015225.1	0.44	0.1	0	0.07	0.29
GCF_000015945.1	0.44	0.07	0.02	0.01	0.2
GCF_000235565.1	0.44	0.88	0.43	0.08	0.43
GCF_000020325.1	0.44	0.05	0.33	0.66	0.6
GCF_000512735.1	0.44	0.07	0.37	0.69	0.6
GCF_000242915.1	0.44	0.07	0.26	0.78	0.64
GCF_000092465.1	0.43	0.09	0	0.14	0.22
GCF_000020525.1	0.43	0.14	0.37	0.43	0.53
GCF_000014865.1	0.43	0.11	0.49	0.75	0.68
GCF_000016605.1	0.42	0.06	0.25	0.2	0.52
GCF_000021725.1	0.42	0.07	0.14	0.49	0.42
GCF_000265295.1	0.42	0.14	0.5	0.68	0.64
GCF_000446015.1	0.41	0.1	0	0.05	0.31
GCF_000568815.1	0.41	0.09	0.56	0.77	0.68
GCF_001298465.1	0.41	0.04	0.13	0.65	0.43
GCF_000814825.1	0.41	0.08	0.05	0.27	0.33
GCF_000175575.2	0.41	0.05	0.26	0.22	0.54
GCF_000020385.1	0.41	0.08	0.31	0.65	0.65
GCF_000217995.1	0.41	0.89	0.47	0.3	0.49
GCF_000179575.2	0.41	0.9	0.47	0.07	0.38
GCF_000513295.1	0.41	0.07	0.59	0.84	0.77
GCF_000017505.1	0.4	0.07	0.49	0.72	0.71
GCF_000969905.1	0.4	0.92	0.45	0.04	0.45
GCF_000499765.1	0.4	0.87	0.4	0.06	0.42
GCF_000018605.1	0.4	0.06	0.11	0.02	0.32
GCF_000092245.1	0.4	0.11	0.54	0.75	0.74
GCF_000017185.1	0.4	0.91	0.47	0.07	0.38
GCF_000020805.1	0.39	0.06	0.5	0.76	0.73
GCF_000017725.2	0.39	0.06	0.09	0.8	0.42
GCF_000021945.1	0.39	0.13	0.48	0.4	0.67
GCF_000214415.1	0.39	0.87	0.47	0.05	0.37
GCF_000970305.1	0.39	0.92	0.53	0.07	0.5
GCF_000145295.1	0.39	0.91	0.43	0.04	0.38
GCF_000828575.1	0.39	0.91	0.44	0.04	0.39
GCF_001548055.1	0.39	0.11	0.56	0.73	0.68
GCF_000017465.2	0.39	0.05	0.13	0.68	0.45
GCF_000246985.2	0.39	0.13	0	0.01	0.32
GCF_000018865.1	0.39	0.14	0.58	0.32	0.72
GCF_000969965.1	0.39	0.92	0.41	0.27	0.51
GCF_000281175.1	0.38	0.14	0.38	0.68	0.68
GCF_000006175.1	0.38	0.84	0.33	0.06	0.3
GCF_000017165.1	0.38	0.9	0.35	0.05	0.31
GCF_000009985.1	0.38	0.12	0.53	0.98	0.75
GCF_000013405.1	0.38	0.1	0.05	0.48	0.33
GCF_000305935.1	0.38	0.21	0.32	0.29	0.42
GCF_000008645.1	0.38	0.91	0.42	0.04	0.38
GCF_001190755.1	0.38	0.09	0.14	0.71	0.44
GCF_000327505.1	0.38	0.06	0	0.04	0.28
GCF_001477655.1	0.38	0.82	0.33	0.06	0.31
GCF_000816105.1	0.38	0.13	0	0.1	0.31
GCF_000091665.1	0.37	0.89	0.48	0.03	0.36
GCF_000196655.1	0.37	0.9	0.56	0.38	0.52
GCF_001484685.1	0.37	0.07	0	0.06	0.34
GCF_000011105.1	0.37	0.08	0	0.01	0.25
GCF_000016125.1	0.37	0.9	0.37	0.06	0.31
GCF_000018305.1	0.37	0.05	0.13	0.22	0.38
GCF_000769655.1	0.37	0.1	0	0.06	0.31
GCF_000166095.1	0.37	0.89	0.48	0.05	0.36
GCF_000970025.1	0.37	0.93	0.42	0.0	0.48
GCF_000970265.1	0.37	0.92	0.47	0.22	0.47
GCF_000024265.1	0.37	0.06	0	0.41	0.37
GCF_000011585.1	0.37	0.91	0.47	0.05	0.36
GCF_000023985.1	0.37	0.9	0.47	0.02	0.37
GCF_000007065.1	0.37	0.92	0.44	0.22	0.48
GCF_000009025.1	0.37	0.13	0.11	0.15	0.39
GCF_000009965.1	0.37	0.06	0	0.01	0.31
GCF_000816345.1	0.37	0.03	0.17	0.73	0.51
GCF_000585495.1	0.37	0.11	0	0.02	0.29
GCF_000011905.1	0.37	0.22	0.37	0.15	0.42
GCF_000736415.1	0.37	0.05	0.23	0.76	0.52
GCF_000195895.1	0.36	0.91	0.48	0.04	0.47
GCF_000183405.1	0.36	0.1	0.31	0.54	0.56
GCF_000191585.1	0.36	0.88	0.41	0.12	0.42
GCF_000175115.2	0.36	0.11	0.46	0.76	0.72
GCF_000022545.1	0.36	0.08	0	0.01	0.35
GCF_000517565.1	0.36	0.1	0.13	0.56	0.51
GCF_000025865.1	0.36	0.89	0.51	0.37	0.51
GCF_000327485.1	0.36	0.9	0.47	0.07	0.41
GCF_001020955.1	0.36	0.07	0.33	0.37	0.65
GCF_000007345.1	0.36	0.92	0.43	0.24	0.53
GCF_000025025.1	0.36	0.13	0.11	0.15	0.37
GCF_001632845.1	0.36	0.13	0.47	0.77	0.67
GCF_000235685.2	0.36	0.8	0.39	0.1	0.49
GCF_000266925.1	0.36	0.19	0	0.09	0.28
GCF_000970045.1	0.36	0.92	0.41	0.21	0.51
GCF_001643975.1	0.36	0.05	0.24	0.76	0.54
GCF_000151205.2	0.36	0.07	0	0.02	0.29
GCF_000020485.1	0.36	0.09	0.12	0.05	0.25
GCF_000007985.2	0.36	0.12	0.52	0.87	0.75
GCF_000023645.1	0.36	0.11	0.46	0.89	0.69
GCF_000306725.1	0.36	0.91	0.4	0.16	0.53
GCF_000970285.1	0.35	0.93	0.45	0.28	0.54
GCF_000465235.1	0.35	0.04	0.23	0.71	0.53
GCF_000013385.1	0.35	0.04	0.28	0.76	0.69
GCF_000404165.1	0.35	0.83	0.46	0.07	0.35
GCF_000309885.1	0.35	0.05	0.34	0.71	0.67
GCF_000478885.1	0.35	0.07	0	0.35	0.36
GCF_000016665.1	0.35	0.09	0.48	0.36	0.65
GCF_000017805.1	0.35	0.09	0.48	0.53	0.65
GCF_000024845.1	0.35	0.05	0.28	0.49	0.67
GCF_000969885.1	0.35	0.92	0.44	0.11	0.48
GCF_000019165.1	0.35	0.14	0.33	0.62	0.54
GCF_001190745.1	0.35	0.08	0.2	0.69	0.45
GCF_000328625.1	0.35	0.06	0.22	0.09	0.31
GCF_000317795.1	0.35	0.02	0	0.2	0.4
GCF_000024185.1	0.35	0.82	0.36	0.06	0.33
GCF_000214725.1	0.34	0.88	0.42	0.12	0.44
GCF_000022265.1	0.34	0.13	0.41	0.75	0.68
GCF_000092405.1	0.34	0.1	0.27	0.16	0.45
GCF_000762265.1	0.34	0.87	0.42	0.06	0.38
GCF_001399775.1	0.34	0.04	0.37	0.41	0.61
GCF_000016525.1	0.34	0.84	0.36	0.07	0.3
GCF_000015825.1	0.34	0.8	0.44	0.1	0.43
GCF_000816265.1	0.34	0.03	0.19	0.64	0.52
GCF_000981545.1	0.34	0.17	0.4	0.69	0.72
GCF_000012285.1	0.34	0.04	0.33	0.26	0.54
GCF_000187005.1	0.34	0.04	0.25	0.53	0.62
GCF_000763575.1	0.34	0.14	0.22	0.09	0.34
GCF_000013445.1	0.34	0.86	0.42	0.1	0.42
GCF_000025725.1	0.34	0.08	0.41	0.65	0.61
GCF_000970085.1	0.34	0.93	0.44	0.25	0.55
GCF_000020725.1	0.34	0.11	0.46	0.89	0.69
GCF_000987835.1	0.34	0.06	0.26	0.68	0.59
GCF_000019605.1	0.34	0.07	0	0.26	0.35
GCF_000817955.1	0.34	0.11	0.46	0.82	0.72
GCF_000224005.2	0.34	0.13	0.46	0.75	0.7
GCF_000011205.1	0.33	0.04	0.39	0.2	0.56
GCF_000017625.1	0.33	0.87	0.47	0.14	0.49
GCF_000016745.1	0.33	0.1	0.47	0.87	0.7
GCF_000014785.1	0.33	0.05	0.34	0.81	0.67
GCF_000021965.1	0.33	0.85	0.42	0.11	0.52
GCF_000007005.1	0.33	0.04	0.24	0.2	0.54
GCF_000144915.1	0.33	0.02	0	0.07	0.38
GCF_000022365.1	0.33	0.12	0	0.01	0.26
GCF_000195335.1	0.33	0.03	0.29	0.41	0.61
GCF_000243135.2	0.33	0.16	0.23	0.69	0.55
GCF_000023885.1	0.33	0.03	0	0.4	0.33
GCF_000012545.1	0.33	0.79	0.38	0.07	0.33
GCF_000190635.1	0.33	0.17	0.36	0.08	0.5
GCF_000204415.1	0.33	0.87	0.42	0.07	0.5
GCF_001643955.1	0.33	0.06	0.23	0.76	0.52
GCF_000019665.1	0.33	0.07	0.65	0.48	0.78
GCF_000023845.1	0.33	0.05	0	0.25	0.26
GCF_000020865.1	0.32	0.07	0.15	0.46	0.59
GCF_000827125.1	0.32	0.08	0.19	0.67	0.54
GCF_000270285.1	0.32	0.07	0.04	0.37	0.36
GCF_000015045.1	0.32	0.1	0.41	0.44	0.53
GCF_000022385.1	0.32	0.04	0.24	0.18	0.54
GCF_000953475.1	0.32	0.08	0.66	0.49	0.76
GCF_000404225.1	0.32	0.41	0.44	0.05	0.39
GCF_000067165.1	0.32	0.06	0.32	0.67	0.73
GCF_000092125.1	0.32	0.06	0.32	0.53	0.7
GCF_000199675.1	0.32	0.07	0.29	0.6	0.55
GCF_000010985.1	0.32	0.1	0.01	0.61	0.51
GCF_000236585.1	0.31	0.04	0.37	0.53	0.6
GCF_000017225.1	0.31	0.9	0.37	0.07	0.31
GCF_000018485.1	0.31	0.9	0.37	0.06	0.31
GCF_000264495.1	0.31	0.06	0	0.03	0.25
GCF_001046955.1	0.31	0.07	0.33	0.61	0.74
GCF_000194135.1	0.31	0.12	0.12	0.15	0.35
GCF_000025125.1	0.31	0.06	0.54	0.3	0.42
GCF_000144695.1	0.31	0.17	0.22	0.06	0.34
GCF_000512895.1	0.31	0.16	0.11	0.16	0.4
GCF_000828975.1	0.31	0.07	0.62	0.57	0.75
GCF_000785705.2	0.31	0.21	0.7	0.76	0.78
GCF_000218625.1	0.31	0.07	0.11	0.51	0.53
GCF_000816785.1	0.3	0.03	0.2	0.72	0.5
GCF_000166335.1	0.3	0.15	0.06	0.04	0.32
GCF_000009725.1	0.3	0.1	0.71	0.4	0.68
GCF_000009085.1	0.3	0.05	0.23	0.72	0.55
GCF_000010045.1	0.3	0.18	0.45	0.67	0.58
GCF_000304355.2	0.3	0.85	0.45	0.12	0.46
GCF_000011185.1	0.3	0.06	0	0.18	0.35
GCF_000145215.1	0.3	0.1	0.07	0.04	0.31
GCF_000597865.1	0.3	0.07	0.07	0.04	0.38
GCF_000015585.1	0.3	0.11	0.41	0.72	0.62
GCF_000092105.1	0.3	0.18	0.41	0.55	0.66
GCF_000196535.1	0.3	0.03	0	0.05	0.38
GCF_001011055.1	0.3	0.07	0.16	0.48	0.58
GCF_001548075.1	0.3	0.09	0.65	0.53	0.72
GCF_000166075.1	0.3	0.1	0.29	0.4	0.65
GCF_000816185.1	0.3	0.03	0.2	0.64	0.52
GCF_000092905.1	0.3	0.04	0.41	0.41	0.62
GCF_000829235.1	0.3	0.06	0.66	0.32	0.46
GCF_000305775.1	0.3	0.19	0.32	0.17	0.45
GCF_000022325.1	0.3	0.12	0.17	0.04	0.37
GCF_000166695.1	0.3	0.14	0.38	0.04	0.41
GCF_000008125.1	0.29	0.04	0.36	0.41	0.64
GCF_000020905.1	0.29	0.05	0	0.01	0.21
GCF_001189555.1	0.29	0.11	0.26	0.34	0.37
GCF_000177635.2	0.29	0.1	0.52	0.61	0.62
GCF_000186365.1	0.29	0.05	0	0.01	0.21
GCF_000208405.1	0.29	0.11	0.16	0.4	0.42
GCF_000299235.1	0.29	0.09	0.34	0.51	0.54
GCF_000009905.1	0.29	0.07	0.28	0.73	0.58
GCF_000019205.1	0.29	0.03	0.19	0.72	0.54
GCF_000816225.1	0.29	0.03	0.19	0.73	0.5
GCF_000816245.1	0.29	0.03	0.2	0.73	0.47
GCF_000152265.2	0.29	0.02	0.18	0.18	0.49
GCF_000015085.1	0.29	0.06	0.22	0.71	0.54
GCF_000328665.1	0.29	0.9	0.53	0.28	0.6
GCF_000317635.1	0.29	0.11	0.76	0.4	0.74
GCF_000012925.1	0.28	0.11	0.46	0.89	0.72
GCF_000317435.1	0.28	0.12	0.65	0.35	0.78
GCF_000241025.1	0.28	0.06	0.05	0.46	0.3
GCF_000186345.1	0.28	0.18	0.35	0.64	0.64
GCF_000495505.1	0.28	0.06	0.22	0.78	0.54
GCF_000023945.1	0.28	0.16	0.32	0.36	0.59
GCF_000147875.1	0.28	0.84	0.44	0.04	0.44
GCF_000300255.2	0.28	0.33	0.46	0.05	0.39
GCF_001644685.1	0.28	0.21	0.77	0.4	0.74
GCF_000612505.1	0.28	0.08	0.59	0.38	0.63
GCF_000016405.1	0.28	0.1	0.59	0.82	0.82
GCF_000020945.1	0.28	0.04	0.04	0.05	0.24
GCF_000284095.1	0.28	0.14	0.3	0.37	0.42
GCF_000284315.1	0.28	0.12	0.58	0.65	0.65
GCF_000478825.2	0.28	0.1	0.71	0.36	0.68
GCF_000756615.1	0.28	0.07	0.53	0.38	0.66
GCF_000953715.1	0.28	0.07	0.04	0.08	0.17
GCF_000143165.1	0.28	0.13	0.19	0.43	0.52
GCF_000024765.1	0.27	0.07	0.51	0.41	0.71
GCF_000008325.1	0.27	0.21	0.62	0.74	0.86
GCF_000312705.1	0.27	0.14	0.67	0.37	0.75
GCF_000013725.1	0.27	0.91	0.42	0.38	0.49
GCF_000243155.2	0.27	0.17	0.23	0.69	0.6
GCF_001278055.1	0.27	0.12	0.5	0.85	0.66
GCF_000242455.2	0.27	0.19	0.36	0.55	0.75
GCF_000012885.1	0.27	0.12	0.56	0.44	0.6
GCF_000014025.1	0.27	0.07	0.26	0.76	0.59
GCF_000015765.1	0.27	0.83	0.34	0.08	0.4
GCF_000166355.1	0.27	0.14	0.37	0.04	0.42
GCF_000018625.1	0.27	0.06	0.25	0.54	0.65
GCF_000661895.1	0.27	0.06	0.37	0.14	0.61
GCF_000970325.1	0.27	0.9	0.5	0.43	0.53
GCF_000018345.1	0.27	0.05	0.43	0.21	0.69
GCF_000816365.1	0.27	0.03	0.19	0.73	0.52
GCF_000198515.1	0.27	0.04	0.31	0.37	0.68
GCF_000210895.1	0.27	0.04	0.09	0.49	0.38
GCF_000021645.1	0.26	0.07	0.1	0.06	0.23
GCF_000022985.1	0.26	0.05	0.12	0.49	0.37
GCF_000233775.1	0.26	0.09	0	0.13	0.26
GCF_000418325.1	0.26	0.08	0.4	0.7	0.77
GCF_000231405.2	0.26	0.16	0.21	0.68	0.55
GCF_000092185.1	0.26	0.03	0	0.08	0.17
GCF_001693255.1	0.26	0.1	0.76	0.38	0.69
GCF_000350305.1	0.26	0.29	0.24	0.07	0.3
GCF_000252995.1	0.26	0.06	0.26	0.54	0.65
GCF_000023325.1	0.26	0.06	0	0.04	0.26
GCF_000800805.1	0.26	0.34	0.29	0.05	0.26
GCF_000271665.2	0.26	0.13	0.29	0.46	0.54
GCF_000953215.1	0.26	0.09	0.33	0.09	0.31
GCF_000024725.1	0.26	0.18	0.3	0.82	0.72
GCF_000204115.1	0.26	0.07	0.23	0.77	0.64
GCF_000024865.1	0.26	0.04	0.39	0.24	0.76
GCF_000013205.1	0.25	0.1	0.7	0.33	0.6
GCF_000062885.1	0.25	0.06	0.32	0.25	0.75
GCF_000200595.1	0.25	0.05	0.16	0.7	0.43
GCF_001281385.1	0.25	0.07	0.35	0.38	0.56
GCF_001187595.1	0.25	0.06	0.32	0.75	0.53
GCF_000006945.1	0.25	0.07	0.19	0.54	0.65
GCF_000014005.1	0.25	0.07	0.35	0.6	0.71
GCF_000017585.1	0.25	0.08	0.08	0.76	0.45
GCF_000017245.1	0.25	0.04	0.16	0.53	0.42
GCF_000016545.1	0.25	0.14	0.38	0.04	0.41
GCF_000304315.1	0.25	0.26	0.55	0.62	0.82
GCF_000015885.1	0.25	0.05	0.06	0.45	0.36
GCF_001443605.1	0.25	0.04	0.09	0.6	0.41
GCF_000993825.1	0.25	0.07	0.51	0.36	0.6
GCF_000317475.1	0.25	0.15	0.68	0.36	0.78
GCF_000012425.1	0.25	0.12	0.6	0.99	0.78
GCF_000020965.1	0.24	0.08	0.11	0.09	0.22
GCF_000024945.1	0.24	0.05	0.22	0.15	0.31
GCF_000024165.1	0.24	0.09	0.54	0.98	0.72
GCF_000213215.1	0.24	0.04	0.05	0.2	0.41
GCF_000758645.1	0.24	0.06	0.57	0.34	0.62
GCF_000143685.1	0.24	0.18	0.34	0.09	0.4
GCF_000021865.1	0.24	0.11	0.55	0.75	0.73
GCF_000007945.1	0.24	0.02	0.01	0.43	0.26
GCF_000294515.1	0.24	0.04	0.34	0.26	0.68
GCF_000317675.1	0.24	0.1	0.72	0.38	0.69
GCF_000022045.1	0.24	0.1	0.71	0.39	0.74
GCF_000021825.1	0.24	0.13	0.64	0.37	0.76
GCF_000203895.1	0.24	0.06	0.34	0.68	0.76
GCF_000204925.1	0.24	0.03	0.12	0.2	0.49
GCF_000317025.1	0.24	0.1	0.58	0.46	0.82
GCF_000007905.1	0.24	0.03	0.05	0.64	0.44
GCF_000349945.1	0.24	0.22	0.5	0.88	0.82
GCF_000758685.1	0.24	0.07	0.47	0.17	0.5
GCF_000262305.1	0.24	0.06	0.25	0.59	0.69
GCF_001027025.1	0.23	0.07	0.01	0.39	0.28
GCF_000511405.1	0.23	0.06	0.43	0.39	0.59
GCF_001458695.1	0.23	0.05	0.22	0.56	0.74
GCF_001689125.1	0.23	0.17	0.21	0.07	0.39
GCF_000828655.1	0.23	0.03	0.0	0.05	0.19
GCF_000758725.1	0.23	0.06	0.61	0.34	0.57
GCF_000725345.1	0.23	0.09	0.29	0.44	0.6
GCF_000013225.1	0.23	0.14	0.67	0.33	0.62
GCF_000317045.1	0.23	0.12	0.73	0.39	0.72
GCF_000014805.1	0.23	0.06	0.26	0.88	0.69
GCF_000599985.1	0.23	0.04	0.21	0.2	0.37
GCF_000014185.1	0.23	0.09	0.38	0.21	0.64
GCF_001042715.1	0.23	0.18	0.41	0.21	0.41
GCF_000024545.1	0.23	0.04	0.33	0.19	0.71
GCF_000019485.1	0.23	0.1	0.7	0.31	0.7
GCF_000214665.1	0.23	0.22	0.71	0.54	0.79
GCF_000734895.2	0.23	0.13	0.65	0.36	0.8
GCF_000022885.2	0.23	0.05	0.16	0.55	0.57
GCF_000025645.1	0.23	0.06	0.25	0.08	0.34
GCF_000230715.2	0.23	0.1	0.16	0.25	0.51
GCF_000010065.1	0.22	0.11	0.8	0.35	0.67
GCF_000967305.2	0.22	0.05	0.34	0.49	0.74
GCF_000019185.1	0.22	0.09	0.26	0.96	0.57
GCF_000021765.1	0.22	0.05	0.31	0.84	0.72
GCF_000014265.1	0.22	0.15	0.68	0.41	0.74
GCF_000807275.1	0.22	0.05	0.18	0.06	0.35
GCF_000019365.1	0.22	0.19	0.67	0.72	0.86
GCF_000146875.3	0.22	0.03	0.27	0.19	0.45
GCF_000259275.1	0.22	0.04	0.12	0.71	0.41
GCF_000286435.2	0.22	0.06	0.19	0.31	0.6
GCF_000259255.1	0.22	0.03	0.1	0.71	0.42
GCF_000145255.1	0.22	0.07	0.4	0.7	0.55
GCF_000021805.1	0.22	0.09	0.61	0.38	0.77
GCF_000015985.1	0.22	0.1	0.62	0.82	0.76
GCF_000020005.1	0.21	0.03	0.04	0.12	0.39
GCF_000014045.1	0.21	0.11	0.54	0.63	0.78
GCF_001190925.1	0.21	0.07	0.55	0.88	0.82
GCF_000504105.1	0.21	0.02	0.02	0.05	0.2
GCF_000236665.1	0.21	0.08	0.52	0.83	0.76
GCF_000284335.1	0.21	0.02	0	0.11	0.29
GCF_000299965.1	0.21	0.07	0.36	0.43	0.6
GCF_000316665.1	0.21	0.09	0.53	0.36	0.75
GCF_000818015.1	0.21	0.08	0.4	0.79	0.73
GCF_000009705.1	0.21	0.12	0.69	0.42	0.8
GCF_000016965.1	0.21	0.14	0.35	0.17	0.54
GCF_000340885.1	0.21	0.15	0.34	0.18	0.47
GCF_001460635.1	0.21	0.03	0.05	0.74	0.44
GCF_000284255.1	0.21	0.24	0.62	0.92	0.76
GCF_000025885.1	0.21	0.08	0	0.11	0.22
GCF_001548455.1	0.21	0.12	0.63	0.41	0.8
GCF_000055945.1	0.21	0.02	0.04	0.41	0.2
GCF_000243075.1	0.21	0.04	0.33	0.77	0.65
GCF_000092985.1	0.21	0.03	0.32	0.22	0.68
GCF_000007745.1	0.21	0.04	0.17	0.59	0.4
GCF_000189775.2	0.21	0.06	0.16	0.11	0.31
