# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size250_cover10.faa.out.hmmsearch.tab
# list_file=Feli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in Feli.txt = 32

	PF00032	PF00033	PF00034	PF00115	PF00116	PF00355	PF00378	PF00465	PF00501	PF00510	PF00550	PF00668	PF01106	PF01154	PF01521	PF01592	PF01794	PF02167	PF02421	PF02535	PF03169	PF03264	PF07664	PF07670	PF08022	PF08030	PF08540	PF09699	PF10399	PF11854	PF13434	PF13523	PF14522
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
Chromobacterium violaceum ATCC 12472	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0
Buchnera aphidicola str. Bp (Baizongia pistaciae)	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Mannheimia succiniciproducens MBEL55E	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1
Coxiella burnetii RSA 493	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Enterococcus faecalis V583	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0
[Pseudomonas syringae] pv. tomato str. DC3000	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0
Bacillus cereus ATCC 14579	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Bacillus anthracis str. Ames	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Mycobacterium avium subsp. paratuberculosis K-10	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Helicobacter hepaticus ATCC 51449	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1
Prochlorococcus marinus subsp. marinus str. CCMP1375	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Haemophilus ducreyi 35000HP	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1
Geobacter sulfurreducens PCA	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1
Bacillus cereus ATCC 10987	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Wolbachia endosymbiont of Drosophila melanogaster	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Rickettsia typhi str. Wilmington	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Lactobacillus johnsonii NCC 533	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0
Thermus thermophilus HB27	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1
Treponema denticola ATCC 35405	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Mycoplasma hyopneumoniae J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mycoplasma synoviae 53	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Picrophilus torridus DSM 9790	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Listeria monocytogenes serotype 4b str. F2365	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0
Mesoplasma florum L1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Methylococcus capsulatus str. Bath	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1
Propionibacterium acnes KPA171202	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0
Mycoplasma mobile 163K	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Wolbachia endosymbiont strain TRS of Brugia malayi	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Bacillus licheniformis DSM 13 = ATCC 14580	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Idiomarina loihiensis L2TR	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1
Helicobacter pylori 26695	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Thermotoga maritima MSB8	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Deinococcus radiodurans R1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Mycobacterium tuberculosis CDC1551	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0
Treponema pallidum subsp. pallidum str. Nichols	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aquifex aeolicus VF5	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1
Methanothermobacter thermautotrophicus str. Delta H	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0
Archaeoglobus fulgidus DSM 4304	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1
Borrelia burgdorferi B31	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
Chlamydia trachomatis D/UW-3/CX	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium acetobutylicum ATCC 824	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0
Helicobacter pylori J99	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Neisseria meningitidis MC58	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus salivarius UCC118	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Francisella tularensis subsp. tularensis SCHU S4	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Staphylococcus aureus RF122	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
Dehalococcoides mccartyi CBDB1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Bacillus subtilis subsp. subtilis str. 168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1
Ralstonia solanacearum GMI1000	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0
Nitrosomonas europaea ATCC 19718	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	1
Xanthomonas campestris pv. vesicatoria str. 85-10	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	0	0
Haloquadratum walsbyi DSM 16790	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Clostridioides difficile 630	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Pseudomonas fluorescens SBW25	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0
Ralstonia eutropha H16	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1
Helicobacter acinonychis str. Sheeba	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Yersinia enterocolitica subsp. enterocolitica 8081	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1
Alcanivorax borkumensis SK2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1
Staphylococcus carnosus subsp. carnosus TM300	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0
Lactococcus lactis subsp. cremoris MG1363	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0
Burkholderia cenocepacia J2315	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0
Streptococcus uberis 0140J	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Mesorhizobium loti MAFF303099	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Clostridium perfringens str. 13	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0
Nostoc sp. PCC 7120	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0
Synechocystis sp. PCC 6803	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Vibrio vulnificus YJ016	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1
Streptomyces avermitilis MA-4680 = NBRC 14893	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0
Geobacillus kaustophilus HTA426	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Nocardia farcinica IFM 10152	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0
Bacillus clausii KSM-K16	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0
Onion yellows phytoplasma OY-M	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Staphylococcus haemolyticus JCSC1435	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Symbiobacterium thermophilum IAM 14863	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Bacteroides fragilis YCH46	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1
Chlamydia felis Fe/C-56	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcus kodakarensis KOD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Magnetospirillum magneticum AMB-1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1
Lactobacillus reuteri JCM 1112	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
Desulfitobacterium hafniense Y51	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Synechococcus elongatus PCC 6301	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sodalis glossinidius str. 'morsitans'	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Rhodococcus erythropolis PR4	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0
Lactobacillus fermentum IFO 3956	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
Brevibacillus brevis NBRC 100599	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0
Finegoldia magna ATCC 29328	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Orientia tsutsugamushi str. Ikeda	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Corynebacterium glutamicum R	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Clostridium kluyveri NBRC 12016	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Kocuria rhizophila DC2201	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Gemmatimonas aurantiaca T-27	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1
Nitratiruptor sp. SB155-2	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1
Sulfurovum sp. NBC37-1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1
Candidatus Vesicomyosocius okutanii HA	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1
Bifidobacterium adolescentis ATCC 15703	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Azorhizobium caulinodans ORS 571	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Burkholderia multivorans ATCC 17616	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0
Macrococcus caseolyticus JCSC5402	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Streptomyces griseus subsp. griseus NBRC 13350	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Microcystis aeruginosa NIES-843	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Desulfovibrio magneticus RS-1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1
Streptococcus dysgalactiae subsp. equisimilis GGS_124	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Azospirillum sp. B510	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0
Hydrogenobacter thermophilus TK-6	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0
Rhodococcus opacus B4	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0
