	real	30	60	100	150	200	250	300
PF09084	-0.062	0.014	0.010	-0.009	-0.055	-0.065	-0.068	-0.055
PF09242	0.412	0.288	0.404	0.379	0.384	0.378	0.393	0.386
PF09459	0.349	0.056	0.217	0.282	0.295	0.349	0.349	0.349
PF10418	0.815	0.764	0.678	0.715	0.821	0.822	0.820	0.820
PF10518	0.178	0.087	0.075	0.088	0.150	0.180	0.147	0.132
PF11511	0.007	0.009	0.005	0.005	0.005	0.005	0.005	0.005
PF12139	1.189	1.203	1.203	1.203	1.203	1.196	1.189	1.189
PF12800	0.363	0.506	0.351	0.241	0.240	0.269	0.280	0.278
PF12806	-0.161	-0.098	-0.146	-0.143	-0.148	-0.153	-0.156	-0.156
PF12831	0.017	-0.028	0.120	0.092	0.103	0.123	0.067	0.064
PF12838	0.123	0.382	0.148	0.121	0.118	0.125	0.124	0.124
PF12857	-0.114	-0.019	-0.074	-0.087	-0.097	-0.102	-0.105	-0.114
PF13183	0.124	0.171	0.331	0.130	0.116	0.123	0.122	0.119
PF13187	0.166	0.429	0.247	0.150	0.142	0.149	0.152	0.157
PF13193	-0.018	0.058	0.020	0.003	-0.006	-0.004	-0.010	0.008
PF13247	0.615	0.771	0.752	0.672	0.622	0.620	0.618	0.621
PF13360	-0.112	-0.000	-0.210	-0.207	-0.163	-0.112	-0.115	-0.114
PF13439	0.103	0.159	0.151	0.096	0.104	0.107	0.104	0.104
PF13442	-0.122	-0.059	-0.225	-0.172	-0.150	-0.111	-0.119	-0.115
PF13501	0.562	0.271	0.342	0.508	0.569	0.569	0.566	0.562
PF13531	0.165	-0.070	0.221	0.278	0.205	0.188	0.172	0.172
PF13577	-0.158	-0.033	-0.099	-0.118	-0.158	-0.153	-0.158	-0.158
PF14306	1.074	0.486	1.023	1.057	1.082	1.087	1.085	1.078
PF14697	0.345	-0.061	0.536	0.304	0.309	0.334	0.319	0.335
PF16867	-0.014	-0.011	-0.012	-0.014	-0.014	-0.014	-0.014	-0.014
PF17179	0.742	0.544	0.945	0.597	0.648	0.650	0.732	0.765
